mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__min_samples_leaf,param_clf__max_iter,param_clf__max_depth,param_clf__learning_rate,param_clf__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24.467815971374513,2.247636903038235,0.3062446117401123,0.0744427362254077,10,600,6,0.03,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 600, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.6338952744110802,0.6241867106014309,0.6129921221732922,0.6337491084997627,0.6247580004596651,0.6259162432290463,0.007699148413164406,14
11.916189384460449,1.016469146016615,0.14677076339721679,0.008984203224766686,10,200,,0.03,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 200, 'clf__max_depth': None, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.6496320624800527,0.6456052307533343,0.6155687606066446,0.6513355425754571,0.631912655728171,0.638810850428732,0.013475236376776898,1
9.084679555892944,0.48839749450024406,0.1452266216278076,0.02647522896617056,40,200,8,0.03,0.1,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 200, 'clf__max_depth': 8, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.639772495746983,0.6395109081938953,0.6173092476685298,0.6443930420189935,0.6248753857307138,0.6331722158718232,0.010296803434255472,4
5.993070793151856,0.3651940952418379,0.10270328521728515,0.01282326032725733,10,200,4,0.03,0.0,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.0}",0.6282108554463784,0.6169252765117427,0.600870101868287,0.6328729051856358,0.6133883698352459,0.6184535017694579,0.0113162903081247,19
12.364602994918823,0.6949026652928195,0.13787531852722168,0.014367096251597596,10,200,,0.1,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 200, 'clf__max_depth': None, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 0.1}",0.6273639607673386,0.6297970319720555,0.6065210634622399,0.6277307443512522,0.6184663659523344,0.6219758333010441,0.008654343872095063,16
9.203349781036376,0.5251825593335093,0.13128128051757812,0.021621298378466384,10,200,6,0.03,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.6333046848028724,0.62232807737867,0.6142260808634469,0.6470266861753174,0.6246762529397923,0.6283123564320198,0.011158902133199472,12
22.41443314552307,1.4929755491466499,0.2652557373046875,0.05825012268652392,10,400,,0.03,1.0,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 400, 'clf__max_depth': None, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 1.0}",0.6470598139734863,0.6427168062291573,0.6201700552527858,0.6438315678990181,0.6294227705626988,0.6366402027834293,0.010203589824726427,2
13.771760416030883,0.7363379253684887,0.2495265483856201,0.01266312145884645,20,600,4,0.1,0.1,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 600, 'clf__max_depth': 4, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 0.1}",0.6181347407702374,0.6286193357937214,0.5858770633048143,0.6116715545058228,0.6338620781383647,0.6156329545025921,0.01678279912889535,22
9.025827121734618,0.6649322819874967,0.18178987503051758,0.021895188559643227,40,400,4,0.05,1.0,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 400, 'clf__max_depth': 4, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 1.0}",0.6276613985953402,0.6352626621699632,0.6172356813879439,0.6324629576534136,0.6429448213650342,0.631113504234339,0.00852675320917427,6
12.613469743728638,1.3768138235547127,0.15370020866394044,0.05775218348269946,10,200,,0.05,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 200, 'clf__max_depth': None, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 0.1}",0.6417596747097427,0.637921520242614,0.6154832005493552,0.6440284666791193,0.6372583564986884,0.6352902437359039,0.010211034433652687,3
23.769990301132204,1.807423136540472,0.29270362854003906,0.02460608409596154,40,600,8,0.05,0.1,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 600, 'clf__max_depth': 8, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 0.1}",0.6216079387288643,0.6318329295622548,0.5877349557412477,0.6178899277224329,0.6298095029580313,0.6177750509425662,0.01587175813676365,20
8.046155166625976,0.3479487718616069,0.14338116645812987,0.009857361830505056,40,200,6,0.05,0.1,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 0.1}",0.636674611736725,0.6335742189838562,0.6086490621748127,0.6388708357653217,0.641470688751165,0.6318478834823761,0.01188598409871743,5
5.865163993835449,0.40503189246456245,0.12350292205810547,0.017112856650743052,20,200,4,0.03,1.0,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 1.0}",0.62642908912787,0.6085443768772945,0.5940617162789232,0.6264110232157936,0.6129207743789801,0.6136733959757723,0.012136277124460481,25
15.378594446182252,0.40968211244304914,0.7194636344909668,0.884627365210493,20,600,4,0.03,0.1,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 600, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.6379754018228404,0.6329707916572792,0.6196970174173327,0.6241139081564614,0.6302383022547962,0.628999084261742,0.006454111727964126,9
40.96259689331055,2.1983351305385614,0.3387636184692383,0.03267279265858326,10,600,,0.1,0.1,"{'clf__min_samples_leaf': 10, 'clf__max_iter': 600, 'clf__max_depth': None, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 0.1}",0.622410859688422,0.6129877128505034,0.6087506328315794,0.6106543634611097,0.6212975521755443,0.6152202242014317,0.005591528551954311,23
12.19621958732605,1.6029552207532505,0.26068434715270994,0.08115063842247858,40,400,4,0.1,1.0,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 400, 'clf__max_depth': 4, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 1.0}",0.6349616503708437,0.6415020460276132,0.599691020488029,0.6262808281120867,0.6261682232967128,0.6257207536590571,0.014230279563552045,15
38.063572311401366,6.772111484221774,0.34607996940612795,0.03500671250320706,40,600,,0.1,1.0,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 600, 'clf__max_depth': None, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 1.0}",0.6168444157088225,0.6291479501675853,0.6034339943773906,0.6192264598446785,0.6279478635914426,0.6193201367379839,0.009268560584476454,18
31.74227080345154,2.052867716041935,0.33793983459472654,0.025922352682870544,40,600,,0.03,0.1,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 600, 'clf__max_depth': None, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.1}",0.6363749198603331,0.6311633278587064,0.6143219795745237,0.6272788696472003,0.6270781621403216,0.627243451816217,0.0072902970696914066,13
32.21798014640808,5.2933093234901225,0.515581750869751,0.26441122994993677,20,600,6,0.03,0.0,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 600, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.0}",0.6349087177101617,0.6344849607144378,0.6103418036717647,0.645703777512197,0.6177181402350761,0.6286314799687275,0.012796433386732555,11
24.868301916122437,1.6438340642619371,0.38663473129272463,0.26023583539906325,40,400,,0.03,0.0,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 400, 'clf__max_depth': None, 'clf__learning_rate': 0.03, 'clf__l2_regularization': 0.0}",0.6419261050839998,0.6346784180282103,0.6052168672218198,0.6377710968682603,0.6351108680434817,0.6309406710491544,0.01311800180364664,7
28.572988033294678,3.01477467562889,0.3955986976623535,0.08255129997032226,20,600,6,0.1,1.0,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 600, 'clf__max_depth': 6, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 1.0}",0.6219955074263376,0.6139396545614096,0.5935940479350447,0.633070724149345,0.6161852309687151,0.6157570330081704,0.01291020208410288,21
12.142380428314208,1.3950270461989926,0.20003294944763184,0.03235387232949732,40,200,6,0.05,1.0,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 1.0}",0.6318379323321768,0.6292805241315658,0.6161506356925509,0.6410934697808067,0.6258550736956371,0.6288435271265475,0.008114910607202996,10
7.921971130371094,0.2604487274103467,0.16410484313964843,0.026050745000398078,20,200,4,0.05,0.0,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.05, 'clf__l2_regularization': 0.0}",0.6304224576637322,0.6209523413218563,0.6087953214207918,0.6268041687896011,0.6143853858767406,0.6202719350145445,0.00790607691865921,17
7.78628454208374,0.4356983482099235,0.17914113998413086,0.024837099985295538,20,200,4,0.1,0.0,"{'clf__min_samples_leaf': 20, 'clf__max_iter': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.1, 'clf__l2_regularization': 0.0}",0.6405061296403788,0.6329258226755223,0.6168882314692834,0.637503707712041,0.62415466734845,0.6303957117691351,0.008724084783700766,8
